title         = ASCII CSV version of Natural Gas consumption data from the 2008 British Petroleum Statistical Review (worksheet 22)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_consumption_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"BP_TAF",1.0,1.1,1.1,1.1,1.3,1.7,1.8,2.5,3.6,4.0,5.0,5.6,6.5,9.3,12.9,18.5,22.1,24.6,27.5,27.1,28.1,31.1,32.0,35.6,36.9,38.1,38.2,40.3,39.9,41.9,44.8,47.2,46.1,47.7,51.2,55.5,59.5,60.8,66.4,70.8,73.3,77.9,83.5
"AU",0.0,0.0,0.0,0.0,0.4,1.7,2.6,3.7,4.7,5.4,5.8,6.8,7.8,8.4,9.7,11.1,12.1,11.8,12.8,12.6,13.5,14.7,15.0,15.4,16.8,16.9,16.2,16.8,17.4,19.3,19.5,19.7,19.3,19.8,20.2,20.5,22.0,22.4,22.4,22.8,21.9,24.0,25.1
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6,0.6,0.8,0.9,1.0,1.2,1.3,1.6,1.9,2.2,2.5,2.8,3.2,3.8,4.3,4.7,4.8,5.3,5.7,6.1,6.6,7.4,7.6,7.6,7.8,8.3,10.0,10.7,11.4,12.3,13.2,14.5,15.3,16.3
"CN",1.1,1.3,1.5,1.4,2.0,2.9,3.7,4.8,6.0,7.5,8.8,10.1,12.1,13.7,14.5,14.3,12.7,11.9,12.2,12.4,12.9,13.8,13.9,14.4,15.0,15.2,15.9,15.9,16.8,17.3,17.7,18.5,19.5,20.3,21.5,24.5,27.4,29.2,33.9,39.7,46.8,56.1,67.3
"HK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3.2,3.0,3.3,3.0,3.0,2.9,1.8,2.7,2.7,2.9,3.0
"IN",0.2,0.3,0.3,0.4,0.5,0.7,0.7,0.8,0.8,0.9,1.1,1.3,1.4,1.6,2.0,1.2,2.1,2.7,3.2,3.7,4.5,6.3,7.2,8.5,10.1,12.0,13.4,15.0,15.2,16.5,18.8,20.5,22.3,24.5,25.1,26.4,26.4,27.6,29.5,31.9,35.7,37.3,40.2
"ID",0.5,0.5,0.6,0.6,1.2,1.2,1.3,1.2,0.8,1.1,2.3,2.4,5.0,5.8,7.5,7.0,7.0,6.7,8.9,10.4,12.4,13.3,13.8,14.6,16.4,16.9,19.5,21.2,22.5,26.7,28.1,29.3,30.6,29.5,32.0,30.2,32.3,33.8,34.7,35.7,32.7,34.9,33.8
"JP",1.7,1.8,1.9,2.0,2.2,3.4,3.7,3.7,5.1,7.0,8.3,10.0,12.2,17.1,20.3,24.1,24.1,24.7,26.6,35.7,38.3,38.9,39.9,42.4,44.0,48.1,50.8,52.8,53.2,56.9,57.9,61.8,64.1,66.1,69.4,72.3,74.3,72.7,79.8,77.0,78.6,83.7,90.2
"MY",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.6,0.6,0.9,1.0,1.1,1.1,1.3,1.6,2.7,4.5,6.5,8.1,7.6,8.2,9.4,9.9,11.6,11.7,13.0,13.6,13.7,17.8,16.7,17.4,16.1,24.3,25.8,26.7,27.1,24.5,28.9,29.6,28.3
"NZ",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.3,0.3,0.8,1.4,1.4,0.8,0.8,1.0,1.8,1.9,2.5,3.2,4.0,3.8,4.1,4.3,4.3,4.6,4.9,4.7,4.4,4.2,4.7,5.1,4.5,5.2,5.5,5.7,5.5,4.1,3.7,3.4,3.5,3.7
"PK",1.8,2.0,2.3,2.6,3.2,3.5,3.5,3.2,3.7,4.1,5.0,5.2,5.7,5.9,6.6,8.1,8.9,9.7,9.7,10.0,10.4,11.1,11.9,12.6,13.4,14.3,15.1,15.5,17.3,17.8,18.3,19.7,19.8,20.1,22.2,22.8,23.4,22.9,25.2,27.4,30.2,30.5,30.8
"PH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.8,2.7,2.4,3.3,2.9,3.4
